ID,First Name,Last Name,Money Available,Cars Purchased,MinerCars Membership,Password,Username
1,Hermione,Granger,41237.47,0,TRUE,Hn)0pf5q,hermionegranger
2,Jason,Bourne,46391.86,0,TRUE,aNgb9jkE,jasonbourne
3,Frodo,Baggins,45381.68,0,FALSE,03#oxBYW,frodobaggins
4,Yoda,Smith,41552.72,0,FALSE,KVyCOGc*,yoda
5,Captain,America,31633.09,0,TRUE,2Lob0Zfa,captainamerica
6,Sherlock,Holmes,22545.97,0,TRUE,#A2UjgVh,sherlockholmes
7,Neo,Miller,48819.72,0,TRUE,1,neo
8,Captain,Jack Sparrow,25338.27,0,FALSE,3*Gts&4X,captainjacksparrow
9,Atticus,Finch,43657.68,0,FALSE,3@H$PHpp,atticusfinch
10,James,T. Kirk,17855.2,0,FALSE,YQoQ3LH3,jamest.kirk
11,Wolverine,Wilson,45137.8,0,FALSE,SucLrbjh,wolverine
12,Gandalf,Williams,35888.84,0,FALSE,Qa8b!@)k,gandalf
13,John,Wick,35258.16,0,TRUE,WUa9@NUG,johnwick
14,Tony,Stark,22035.25,0,TRUE,bmQ@0CrZ,tonystark
15,Rocky,Balboa,17044.39,0,FALSE,Sma0y*cV,rockybalboa
16,Luke,Skywalker,24267.18,0,FALSE,Fl&^mI*Y,lukeskywalker
17,Morpheus,Wilson,24224.76,0,TRUE,1IZgnN1(,morpheus
18,Tony,Montana,41234.53,0,TRUE,ut@zVg$i,tonymontana
19,Batman,Miller,43288,0,FALSE,P8A)art(,batman
20,Norman,Bates,33671.7,0,FALSE,SgSj29cv,normanbates
21,E.T.,Moore,27324.29,0,TRUE,cstk@z!6,e.t.
22,Jackie,Chan,26291.92,0,FALSE,yCTnezqK,jackiechan
23,Travis,Bickle,36835.98,0,FALSE,eT47a5mQ,travisbickle
24,Han,Solo,46816.13,0,TRUE,6EJQon4R,hansolo
25,James,Bond,25557.28,0,FALSE,1kfbNp2W,jamesbond
26,Hanibal,Lecter,27073.63,0,FALSE,E6l1WgpH,haniballecter
27,Katniss,Everdeen,18758.73,0,TRUE,z@Uei505,katnisseverdeen
28,Thor,Moore,20920.25,0,FALSE,xEj4#TAs,thor
29,Spider-Man,Smith,46552.38,0,TRUE,OoU6bx29,spider-man
30,Michael,Corleone,46780.98,0,FALSE,l$lqW*w0,michaelcorleone
31,Ellen,Ripley,27263.78,0,TRUE,okjgX&kI,ellenripley
32,Wonder,Woman,15981.21,0,FALSE,QV#Tb!9&,wonderwoman
33,Dorothy,Gale,45165.51,0,TRUE,mLY9h3aK,dorothygale
34,Darth,Vader,36818.93,0,FALSE,McxFb#wZ,darthvader
35,Harry,Potter,23411.2,0,TRUE,KjHw49b0,harrypotter
36,Rick,Blaine,35848.75,0,FALSE,Lxt0JrZ%,rickblaine
