Money Available,Password,Last Name,ID,Cars Purchased,First Name,Username,MinerCars Membership
41237.47,Hn)0pf5q,Granger,1,0,Hermione,hermionegranger,TRUE
46391.86,aNgb9jkE,Bourne,2,0,Jason,jasonbourne,TRUE
45381.68,03#oxBYW,Baggins,3,0,Frodo,frodobaggins,FALSE
41552.72,69,Smith,4,0,Yoda,yoda,FALSE
31633.09,2Lob0Zfa,America,5,0,Captain,captainamerica,TRUE
22545.97,#A2UjgVh,Holmes,6,0,Sherlock,sherlockholmes,TRUE
null,69,Miller,7,null,Neo,neo,TRUE
25338.27,3*Gts&4X,Jack Sparrow,8,0,Captain,captainjacksparrow,FALSE
43657.68,3@H$PHpp,Finch,9,0,Atticus,atticusfinch,FALSE
17855.2,YQoQ3LH3,T. Kirk,10,0,James,jamest.kirk,FALSE
45137.8,SucLrbjh,Wilson,11,0,Wolverine,wolverine,FALSE
35888.84,Qa8b!@)k,Williams,12,0,Gandalf,gandalf,FALSE
35258.16,WUa9@NUG,Wick,13,0,John,johnwick,TRUE
22035.25,bmQ@0CrZ,Stark,14,0,Tony,tonystark,TRUE
17044.39,Sma0y*cV,Balboa,15,0,Rocky,rockybalboa,FALSE
24267.18,Fl&^mI*Y,Skywalker,16,0,Luke,lukeskywalker,FALSE
24224.76,1IZgnN1(,Wilson,17,0,Morpheus,morpheus,TRUE
41234.53,ut@zVg$i,Montana,18,0,Tony,tonymontana,TRUE
43288,P8A)art(,Miller,19,0,Batman,batman,FALSE
33671.7,SgSj29cv,Bates,20,0,Norman,normanbates,FALSE
27324.29,cstk@z!6,Moore,21,0,E.T.,e.t.,TRUE
26291.92,yCTnezqK,Chan,22,0,Jackie,jackiechan,FALSE
36835.98,eT47a5mQ,Bickle,23,0,Travis,travisbickle,FALSE
46816.13,6EJQon4R,Solo,24,0,Han,hansolo,TRUE
25557.28,1kfbNp2W,Bond,25,0,James,jamesbond,FALSE
27073.63,E6l1WgpH,Lecter,26,0,Hanibal,haniballecter,FALSE
18758.73,z@Uei505,Everdeen,27,0,Katniss,katnisseverdeen,TRUE
20920.25,xEj4#TAs,Moore,28,0,Thor,thor,FALSE
46552.38,OoU6bx29,Smith,29,0,Spider-Man,spider-man,TRUE
46780.98,l$lqW*w0,Corleone,30,0,Michael,michaelcorleone,FALSE
27263.78,okjgX&kI,Ripley,31,0,Ellen,ellenripley,TRUE
15981.21,QV#Tb!9&,Woman,32,0,Wonder,wonderwoman,FALSE
45165.51,mLY9h3aK,Gale,33,0,Dorothy,dorothygale,TRUE
36818.93,McxFb#wZ,Vader,34,0,Darth,darthvader,FALSE
23411.2,KjHw49b0,Potter,35,0,Harry,harrypotter,TRUE
35848.75,Lxt0JrZ%,Blaine,36,0,Rick,rickblaine,FALSE
99999999,1,Rodriguez,400,0,Edgar,edgarr,no
